frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
18,5.0,1109.1930523094409 550.4363031813182 1556.2888399733304 892.7437065337374,1236.4288330078125 773.3642578125 1319.184814453125 822.78662109375,0.6697178483009338,SPF-787,0.9658086895942688
18,1.0,252.52107884857864 479.07147363339686 684.7578419965795 923.019883739981,431.5644836425781 713.2933349609375 528.8768920898438 768.2467041015625,0.6165323257446289,SPF-9A9,0.936052680015564
18,6.0,790.3627557527798 829.2458698476592 1080.7180420426002 1083.3088231787717,911.8115234375 862.0338134765625 972.737060546875 901.283935546875,0.3544018566608429,RAFE,0.5654613375663757
19,5.0,1108.5192712445844 552.3494686411536 1557.1372742523884 896.0803692762404,1236.96533203125 775.7495727539062 1320.083740234375 824.5354614257812,0.6534537672996521,SPF-787,0.9617292284965515
19,1.0,251.62337790990543 482.31618510817395 688.4124068791384 925.8704391789796,430.8641052246094 715.3037719726562 511.0122985839844 769.3853759765625,0.5416368842124939,SPF-9A9,0.9491896033287048
19,6.0,794.8018769533662 838.790721963479 1083.6759746087678 1085.951956624095,915.7868041992188 863.105712890625 974.5482788085938 904.3809814453125,0.325156033039093,RAFE,0.6752937436103821
20,5.0,1107.8590274792161 553.6495756231294 1557.482974567455 897.8675348454832,1239.1270751953125 775.5858154296875 1320.646240234375 824.257080078125,0.6393557190895081,SPF-787,0.9631567597389221
20,6.0,796.0948134688375 848.5622312064945 1085.2700734285454 1087.5652513840619,914.0977783203125 863.9573364257812 975.9373779296875 904.5939331054688,0.3462778925895691,RAFE,0.6942659616470337
20,1.0,251.17877911656208 475.81792474923793 691.5447097696309 922.4407419134005,429.8821105957031 721.5670166015625 490.99859619140625 767.338623046875,0.3390791118144989,SPF-9A9,0.9407684803009033
21,5.0,1107.0053888187635 554.3658071107706 1557.7861164002993 899.1185242785617,1238.789794921875 777.5106811523438 1320.9056396484375 825.1235961914062,0.6102527379989624,SPF-787,0.960814356803894
21,1.0,252.31439689936886 474.9889736709639 694.8023399521464 923.6574611436089,431.0008850097656 723.018798828125 502.4631042480469 770.7431640625,0.43380483984947205,SPF-9A9,0.985332190990448
21,6.0,798.8860006037149 846.6155314390344 1087.1076405187366 1084.2565853976816,911.127197265625 863.3228759765625 980.2098388671875 906.4193115234375,0.20719827711582184,RAFE,0.6821030378341675
